date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:45:40	67/67	---MC-	200	added ('OK')	text/plain	date:Fri,%2020%20May%202016%2005:45:39%20GMT	http://museopedrodeosma.org/robots.txt		(from )
00:45:40	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2020%20May%202016%2005:45:39%20GMT	http://museopedrodeosma.org/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/index.html	(from )
00:45:44	43683/43683	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:45:42%20GMT	http://museopedrodeosma.org/en/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/index.html	(from http://museopedrodeosma.org/)
00:45:49	39345/39345	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2020%20May%202016%2005:45:46%20GMT	http://museopedrodeosma.org/xmlrpc.php	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/xmlrpc.0.delayed	(from http://museopedrodeosma.org/en/)
00:45:51	489/489	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Mar%202016%2015:46:43%20GMT	http://museopedrodeosma.org/wp-content/uploads/useanyfont/uaf.css?ver=1459180003	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/uploads/useanyfont/uafeebb.css	(from http://museopedrodeosma.org/en/)
00:45:53	11623/11623	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202016%2019:33:56%20GMT	http://museopedrodeosma.org/wp-content/plugins/wc-gallery/includes/css/style.css?ver=1.47	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/plugins/wc-gallery/includes/css/style1348.css	(from http://museopedrodeosma.org/en/)
00:45:54	7752/7752	---MC-	200	added ('OK')	application/rss+xml	etag:%22a8780890a7661f88ffdff7a07fbdcd7f%22	http://museopedrodeosma.org/en/comments/feed/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/comments/feed/index.html	(from http://museopedrodeosma.org/en/)
00:45:55	10764/10764	---MC-	200	added ('OK')	application/rss+xml	etag:%222b3a55fe9bc88ec19e9dbc399200a68d%22	http://museopedrodeosma.org/en/feed/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/feed/index.html	(from http://museopedrodeosma.org/en/)
00:45:56	7789/7789	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202016%2019:33:56%20GMT	http://museopedrodeosma.org/wp-content/plugins/wc-gallery/includes/css/magnific-popup.css?ver=0.9.9	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/plugins/wc-gallery/includes/css/magnific-popupe2dc.css	(from http://museopedrodeosma.org/en/)
00:45:58	7755/7755	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202016%2019:33:56%20GMT	http://museopedrodeosma.org/wp-content/plugins/wc-gallery/includes/vendors/flexslider/flexslider.css?ver=2.5.0	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/plugins/wc-gallery/includes/vendors/flexslider/flexslider0875.css	(from http://museopedrodeosma.org/en/)
